Sentiment,Tweet
neutral,"@united 877 from amsterdam to ewr, 02.27.2015, 737-300."
negative,@united IT-problems with the link? #3thparty
positive,@united -today the staff @ MSP took customer service to a new level. My father passed away last night &amp; you helped me get home today! Thanks
negative,@AmericanAir but have been yet to receive assistance from one of your agents in securing a new connection. Many will now miss work tomorrow.
negative,@SouthwestAir  you won't let me change my reservation online so now I'm just wasting my time. http://t.co/mHA3xXaeD5
neutral,@AmericanAir where do I look for cabin crew vacancies?
neutral,@united please update what is going to happen to passengers now that flt ua14 has been Cancelled Flightled
negative,@AmericanAir how do I redeem a travel voucher for a flight if I can't reach a travel agent by phone? My hold expires in 24 hours
neutral,@AmericanAir originating at SFO and going to LAX.
negative,@JetBlue Good perspective. If only this safety concern had been expressed at some point before I arrived at the airport. #communicationiskey
neutral,Welllllll.... RT @JetBlue: Our fleet's on fleek. http://t.co/dHHomG2kiX
neutral,@USAirways @shivadelrahim what about upgrades?
negative,@southwestair on flight 3130 and I paid $8 for wifi that can't load a website functionally except for your own live streaming. Unacceptable.
negative,@JetBlue absolutely no worries. I'm just never flying with you again. Ever. Even I have to hitch hike cross country #passengersarepeople
negative,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
neutral,@united - sitting in seat 10D on a flight back from Vegas to Chicago.  Someone left a folder that looks important in the seat pocket. (1/2)
negative,@JetBlue is I can't make changes on the website am I still charged 25 dollars for using phone
neutral,@JetBlue wall separating in row 1. #safetyconcerns http://t.co/zTrDwV0N4l
negative,@united the people at the counter have been very helpful. As you can see nobody is there. Flight to Austin 10:55 and still sitting here.
neutral,STAHP!!  RT @JetBlue Our fleet's on fleek. http://t.co/BM2unRaOnI
negative,@AmericanAir - cruel &amp; unusual to Cancelled Flight flight w/o notice &amp; make someone stay on hold for 30min &amp; listen to the same ad in a loop
positive,@SouthwestAir rules.
positive,Keep it up :) @AmericanAir
neutral,@JetBlue are you my friend?!
neutral,@JetBlue  Alright I hope. My JetBlue app is showing a change in my seats and online shows an a320.  Don't want any surprises
positive,First base already? I like your style @JetBlue
positive,@USAirways YOU ARE AMAZING!!! YOU ARE THE BEST!!! FOLLOW ME PLEASE 
negative,@united  Otis in the baggage claim by Bay #8. not at all happy but not nearly as pissed.
negative,@united My contact stuff is in the bag and I'm legally blind. This is so messed up.
negative,".@USAirways trying to get a partner PNR, and have spent more than 1 hour on hold.  I know its snowing somewhere, but this is awful"
positive,@SouthwestAir is having a sale! I'm delighted!
negative,@united you are making me miss big snow in Montana. Not cool.
neutral,.@JetBlue That's what I planned on but Boston traffic due to recent weather was insane! If I had been expedited I would have made it.
negative,@AmericanAir @ActingOutMgmnt Just make sure they remember to load the bags onto the plane. They Cancelled Flight the flight when they forget...
neutral,@united Im resending the confirmation code in a DM
negative,"@united if guy on flight 1230 follows through on threat to sue because he couldnt carry on 3 bags, I will defend you for free."
neutral,"@SouthwestAir I am in, let's do this!"
positive,"@USAirways thanks for the reply. On a good note, the pilot nailed the landing. Seriously. Kudos."
neutral,@united Flight 1547 CMH to ORD just arrived at gate. Next segment to YVR already boarding. Will they hold it?
positive,@united give her the recognition she deserves!
neutral,@USAirways Looking forward to some friends and family time in Arizona.
negative,@SouthwestAir your checkin system is #poor
negative,@USAirways more than an hour holding to change a flight on the phone now.. What's up with that???
positive,".@VirginAmerica not only was it great, but you return my calls the day after. Couldn't ask for more. #myVXexperience"
negative,@AmericanAir need2know if Ill be able to reach IND today.Rather stay in MAF that fly to DFW &amp; find out I can't travel http://t.co/gVgKHbx1RB
neutral,"@USAirways is there an additional charge for a golf bag with clubs , shoes, and golf balls, if that's the only piece of luggage you check?"
negative,@AmericanAir - I am Platinum.  I am flying USAir and they have stranded me in CLT.  Not answering phones. Did not rebook me.  Please help?
negative,@AmericanAir now the second flight I was put on was Cancelled Flightled with no explanation!! Missed my first meeting!!#outraged
negative,@USAirways oh I got right through to an agent. They just kept putting me on hold and still didn't fix the problem
negative,@JetBlue: @benjaminokeefe Thanks for including us on your tour! Did you pack your winter coat?Unfortunately yes  #WereNotinCaliAnymore
neutral,@virginamerica.. Can you help? Left my blazer in. Kooples jacket bag at 3rd row second seat from right gate 36 T3 lax.. Flight to sfo
